Date,Year,Month,Day,Quarter,Weekday,WeekOfYear,IsWeekend,IsHoliday,MonthName,DayName
2000-06-26,2000,6,26,2,0,26,0,0,June,Monday
2000-06-27,2000,6,27,2,1,26,0,0,June,Tuesday
2000-06-28,2000,6,28,2,2,26,0,0,June,Wednesday
2000-06-29,2000,6,29,2,3,26,0,0,June,Thursday
2000-06-30,2000,6,30,2,4,26,0,0,June,Friday
2000-07-01,2000,7,1,3,5,26,1,0,July,Saturday
2000-07-02,2000,7,2,3,6,26,1,0,July,Sunday
2000-07-03,2000,7,3,3,0,27,0,0,July,Monday
2000-07-04,2000,7,4,3,1,27,0,0,July,Tuesday
2000-07-05,2000,7,5,3,2,27,0,0,July,Wednesday
2000-07-06,2000,7,6,3,3,27,0,0,July,Thursday
2000-07-07,2000,7,7,3,4,27,0,0,July,Friday
2000-07-08,2000,7,8,3,5,27,1,0,July,Saturday
2000-07-09,2000,7,9,3,6,27,1,0,July,Sunday
2000-07-10,2000,7,10,3,0,28,0,0,July,Monday
2000-07-11,2000,7,11,3,1,28,0,0,July,Tuesday
2000-07-12,2000,7,12,3,2,28,0,0,July,Wednesday
2000-07-13,2000,7,13,3,3,28,0,0,July,Thursday
2000-07-14,2000,7,14,3,4,28,0,0,July,Friday
2000-07-15,2000,7,15,3,5,28,1,0,July,Saturday
2000-07-16,2000,7,16,3,6,28,1,0,July,Sunday
2000-07-17,2000,7,17,3,0,29,0,0,July,Monday
2000-07-18,2000,7,18,3,1,29,0,0,July,Tuesday
2000-07-19,2000,7,19,3,2,29,0,0,July,Wednesday
2000-07-20,2000,7,20,3,3,29,0,0,July,Thursday
2000-07-21,2000,7,21,3,4,29,0,0,July,Friday
2000-07-22,2000,7,22,3,5,29,1,0,July,Saturday
2000-07-23,2000,7,23,3,6,29,1,0,July,Sunday
2000-07-24,2000,7,24,3,0,30,0,0,July,Monday
2000-07-25,2000,7,25,3,1,30,0,0,July,Tuesday
2000-07-26,2000,7,26,3,2,30,0,0,July,Wednesday
