Date,Year,Month,Day,Quarter,Weekday,WeekOfYear,IsWeekend,IsHoliday,MonthName,DayName
2020-08-24,2020,8,24,3,0,35,0,0,August,Monday
2020-08-25,2020,8,25,3,1,35,0,0,August,Tuesday
2020-08-26,2020,8,26,3,2,35,0,0,August,Wednesday
2020-08-27,2020,8,27,3,3,35,0,0,August,Thursday
2020-08-28,2020,8,28,3,4,35,0,0,August,Friday
2020-08-29,2020,8,29,3,5,35,1,0,August,Saturday
2020-08-30,2020,8,30,3,6,35,1,0,August,Sunday
2020-08-31,2020,8,31,3,0,36,0,0,August,Monday
2020-09-01,2020,9,1,3,1,36,0,0,September,Tuesday
2020-09-02,2020,9,2,3,2,36,0,0,September,Wednesday
2020-09-03,2020,9,3,3,3,36,0,0,September,Thursday
2020-09-04,2020,9,4,3,4,36,0,0,September,Friday
2020-09-05,2020,9,5,3,5,36,1,0,September,Saturday
2020-09-06,2020,9,6,3,6,36,1,0,September,Sunday
2020-09-07,2020,9,7,3,0,37,0,0,September,Monday
2020-09-08,2020,9,8,3,1,37,0,0,September,Tuesday
2020-09-09,2020,9,9,3,2,37,0,0,September,Wednesday
2020-09-10,2020,9,10,3,3,37,0,0,September,Thursday
2020-09-11,2020,9,11,3,4,37,0,0,September,Friday
2020-09-12,2020,9,12,3,5,37,1,0,September,Saturday
2020-09-13,2020,9,13,3,6,37,1,0,September,Sunday
2020-09-14,2020,9,14,3,0,38,0,0,September,Monday
2020-09-15,2020,9,15,3,1,38,0,0,September,Tuesday
2020-09-16,2020,9,16,3,2,38,0,0,September,Wednesday
2020-09-17,2020,9,17,3,3,38,0,0,September,Thursday
2020-09-18,2020,9,18,3,4,38,0,0,September,Friday
2020-09-19,2020,9,19,3,5,38,1,0,September,Saturday
2020-09-20,2020,9,20,3,6,38,1,0,September,Sunday
2020-09-21,2020,9,21,3,0,39,0,0,September,Monday
2020-09-22,2020,9,22,3,1,39,0,0,September,Tuesday
2020-09-23,2020,9,23,3,2,39,0,0,September,Wednesday
2020-09-24,2020,9,24,3,3,39,0,0,September,Thursday
2020-09-25,2020,9,25,3,4,39,0,0,September,Friday
2020-09-26,2020,9,26,3,5,39,1,0,September,Saturday
2020-09-27,2020,9,27,3,6,39,1,0,September,Sunday
2020-09-28,2020,9,28,3,0,40,0,0,September,Monday
2020-09-29,2020,9,29,3,1,40,0,0,September,Tuesday
2020-09-30,2020,9,30,3,2,40,0,0,September,Wednesday
2020-10-01,2020,10,1,4,3,40,0,0,October,Thursday
2020-10-02,2020,10,2,4,4,40,0,0,October,Friday
2020-10-03,2020,10,3,4,5,40,1,0,October,Saturday
2020-10-04,2020,10,4,4,6,40,1,0,October,Sunday
2020-10-05,2020,10,5,4,0,41,0,0,October,Monday
2020-10-06,2020,10,6,4,1,41,0,0,October,Tuesday
2020-10-07,2020,10,7,4,2,41,0,0,October,Wednesday
2020-10-08,2020,10,8,4,3,41,0,0,October,Thursday
2020-10-09,2020,10,9,4,4,41,0,0,October,Friday
2020-10-10,2020,10,10,4,5,41,1,0,October,Saturday
2020-10-11,2020,10,11,4,6,41,1,0,October,Sunday
2020-10-12,2020,10,12,4,0,42,0,0,October,Monday
2020-10-13,2020,10,13,4,1,42,0,0,October,Tuesday
2020-10-14,2020,10,14,4,2,42,0,0,October,Wednesday
2020-10-15,2020,10,15,4,3,42,0,0,October,Thursday
2020-10-16,2020,10,16,4,4,42,0,0,October,Friday
2020-10-17,2020,10,17,4,5,42,1,0,October,Saturday
2020-10-18,2020,10,18,4,6,42,1,0,October,Sunday
2020-10-19,2020,10,19,4,0,43,0,0,October,Monday
2020-10-20,2020,10,20,4,1,43,0,0,October,Tuesday
2020-10-21,2020,10,21,4,2,43,0,0,October,Wednesday
2020-10-22,2020,10,22,4,3,43,0,0,October,Thursday
2020-10-23,2020,10,23,4,4,43,0,0,October,Friday
2020-10-24,2020,10,24,4,5,43,1,0,October,Saturday
2020-10-25,2020,10,25,4,6,43,1,0,October,Sunday
2020-10-26,2020,10,26,4,0,44,0,0,October,Monday
2020-10-27,2020,10,27,4,1,44,0,0,October,Tuesday
2020-10-28,2020,10,28,4,2,44,0,0,October,Wednesday
2020-10-29,2020,10,29,4,3,44,0,0,October,Thursday
2020-10-30,2020,10,30,4,4,44,0,0,October,Friday
2020-10-31,2020,10,31,4,5,44,1,0,October,Saturday
2020-11-01,2020,11,1,4,6,44,1,0,November,Sunday
2020-11-02,2020,11,2,4,0,45,0,0,November,Monday
2020-11-03,2020,11,3,4,1,45,0,0,November,Tuesday
2020-11-04,2020,11,4,4,2,45,0,0,November,Wednesday
2020-11-05,2020,11,5,4,3,45,0,0,November,Thursday
2020-11-06,2020,11,6,4,4,45,0,0,November,Friday
2020-11-07,2020,11,7,4,5,45,1,0,November,Saturday
2020-11-08,2020,11,8,4,6,45,1,0,November,Sunday
2020-11-09,2020,11,9,4,0,46,0,0,November,Monday
2020-11-10,2020,11,10,4,1,46,0,0,November,Tuesday
2020-11-11,2020,11,11,4,2,46,0,0,November,Wednesday
2020-11-12,2020,11,12,4,3,46,0,0,November,Thursday
2020-11-13,2020,11,13,4,4,46,0,0,November,Friday
2020-11-14,2020,11,14,4,5,46,1,0,November,Saturday
2020-11-15,2020,11,15,4,6,46,1,0,November,Sunday
2020-11-16,2020,11,16,4,0,47,0,0,November,Monday
2020-11-17,2020,11,17,4,1,47,0,0,November,Tuesday
2020-11-18,2020,11,18,4,2,47,0,0,November,Wednesday
2020-11-19,2020,11,19,4,3,47,0,0,November,Thursday
2020-11-20,2020,11,20,4,4,47,0,0,November,Friday
2020-11-21,2020,11,21,4,5,47,1,0,November,Saturday
2020-11-22,2020,11,22,4,6,47,1,0,November,Sunday
2020-11-23,2020,11,23,4,0,48,0,0,November,Monday
2020-11-24,2020,11,24,4,1,48,0,0,November,Tuesday
2020-11-25,2020,11,25,4,2,48,0,0,November,Wednesday
2020-11-26,2020,11,26,4,3,48,0,0,November,Thursday
2020-11-27,2020,11,27,4,4,48,0,0,November,Friday
2020-11-28,2020,11,28,4,5,48,1,0,November,Saturday
2020-11-29,2020,11,29,4,6,48,1,0,November,Sunday
2020-11-30,2020,11,30,4,0,49,0,0,November,Monday
2020-12-01,2020,12,1,4,1,49,0,0,December,Tuesday
2020-12-02,2020,12,2,4,2,49,0,0,December,Wednesday
2020-12-03,2020,12,3,4,3,49,0,0,December,Thursday
2020-12-04,2020,12,4,4,4,49,0,0,December,Friday
2020-12-05,2020,12,5,4,5,49,1,0,December,Saturday
2020-12-06,2020,12,6,4,6,49,1,0,December,Sunday
2020-12-07,2020,12,7,4,0,50,0,0,December,Monday
2020-12-08,2020,12,8,4,1,50,0,0,December,Tuesday
2020-12-09,2020,12,9,4,2,50,0,0,December,Wednesday
2020-12-10,2020,12,10,4,3,50,0,0,December,Thursday
2020-12-11,2020,12,11,4,4,50,0,0,December,Friday
2020-12-12,2020,12,12,4,5,50,1,0,December,Saturday
2020-12-13,2020,12,13,4,6,50,1,0,December,Sunday
2020-12-14,2020,12,14,4,0,51,0,0,December,Monday
2020-12-15,2020,12,15,4,1,51,0,0,December,Tuesday
2020-12-16,2020,12,16,4,2,51,0,0,December,Wednesday
2020-12-17,2020,12,17,4,3,51,0,0,December,Thursday
2020-12-18,2020,12,18,4,4,51,0,0,December,Friday
2020-12-19,2020,12,19,4,5,51,1,0,December,Saturday
2020-12-20,2020,12,20,4,6,51,1,0,December,Sunday
2020-12-21,2020,12,21,4,0,52,0,0,December,Monday
2020-12-22,2020,12,22,4,1,52,0,0,December,Tuesday
2020-12-23,2020,12,23,4,2,52,0,0,December,Wednesday
2020-12-24,2020,12,24,4,3,52,0,0,December,Thursday
2020-12-25,2020,12,25,4,4,52,0,0,December,Friday
2020-12-26,2020,12,26,4,5,52,1,0,December,Saturday
2020-12-27,2020,12,27,4,6,52,1,0,December,Sunday
2020-12-28,2020,12,28,4,0,53,0,0,December,Monday
2020-12-29,2020,12,29,4,1,53,0,0,December,Tuesday
2020-12-30,2020,12,30,4,2,53,0,0,December,Wednesday
2020-12-31,2020,12,31,4,3,53,0,0,December,Thursday
2021-01-01,2021,1,1,1,4,53,0,0,January,Friday
2021-01-02,2021,1,2,1,5,53,1,0,January,Saturday
2021-01-03,2021,1,3,1,6,53,1,0,January,Sunday
2021-01-04,2021,1,4,1,0,1,0,0,January,Monday
2021-01-05,2021,1,5,1,1,1,0,0,January,Tuesday
2021-01-06,2021,1,6,1,2,1,0,0,January,Wednesday
2021-01-07,2021,1,7,1,3,1,0,0,January,Thursday
2021-01-08,2021,1,8,1,4,1,0,0,January,Friday
2021-01-09,2021,1,9,1,5,1,1,0,January,Saturday
2021-01-10,2021,1,10,1,6,1,1,0,January,Sunday
2021-01-11,2021,1,11,1,0,2,0,0,January,Monday
2021-01-12,2021,1,12,1,1,2,0,0,January,Tuesday
2021-01-13,2021,1,13,1,2,2,0,0,January,Wednesday
2021-01-14,2021,1,14,1,3,2,0,0,January,Thursday
2021-01-15,2021,1,15,1,4,2,0,0,January,Friday
2021-01-16,2021,1,16,1,5,2,1,0,January,Saturday
2021-01-17,2021,1,17,1,6,2,1,0,January,Sunday
2021-01-18,2021,1,18,1,0,3,0,0,January,Monday
2021-01-19,2021,1,19,1,1,3,0,0,January,Tuesday
2021-01-20,2021,1,20,1,2,3,0,0,January,Wednesday
2021-01-21,2021,1,21,1,3,3,0,0,January,Thursday
2021-01-22,2021,1,22,1,4,3,0,0,January,Friday
2021-01-23,2021,1,23,1,5,3,1,0,January,Saturday
2021-01-24,2021,1,24,1,6,3,1,0,January,Sunday
2021-01-25,2021,1,25,1,0,4,0,0,January,Monday
2021-01-26,2021,1,26,1,1,4,0,0,January,Tuesday
2021-01-27,2021,1,27,1,2,4,0,0,January,Wednesday
2021-01-28,2021,1,28,1,3,4,0,0,January,Thursday
2021-01-29,2021,1,29,1,4,4,0,0,January,Friday
2021-01-30,2021,1,30,1,5,4,1,0,January,Saturday
2021-01-31,2021,1,31,1,6,4,1,0,January,Sunday
2021-02-01,2021,2,1,1,0,5,0,0,February,Monday
2021-02-02,2021,2,2,1,1,5,0,0,February,Tuesday
2021-02-03,2021,2,3,1,2,5,0,0,February,Wednesday
2021-02-04,2021,2,4,1,3,5,0,0,February,Thursday
2021-02-05,2021,2,5,1,4,5,0,0,February,Friday
2021-02-06,2021,2,6,1,5,5,1,0,February,Saturday
2021-02-07,2021,2,7,1,6,5,1,0,February,Sunday
2021-02-08,2021,2,8,1,0,6,0,0,February,Monday
2021-02-09,2021,2,9,1,1,6,0,0,February,Tuesday
2021-02-10,2021,2,10,1,2,6,0,0,February,Wednesday
2021-02-11,2021,2,11,1,3,6,0,0,February,Thursday
2021-02-12,2021,2,12,1,4,6,0,0,February,Friday
2021-02-13,2021,2,13,1,5,6,1,0,February,Saturday
2021-02-14,2021,2,14,1,6,6,1,0,February,Sunday
2021-02-15,2021,2,15,1,0,7,0,0,February,Monday
2021-02-16,2021,2,16,1,1,7,0,0,February,Tuesday
2021-02-17,2021,2,17,1,2,7,0,0,February,Wednesday
2021-02-18,2021,2,18,1,3,7,0,0,February,Thursday
